ID,Affect, Article, Cause, Certain, Cogproc, Discrep, Insight, Motion, Negate, Negemo, They, SheHe, Prep, Ppron, Posemo, I, We, See, Hear, Social, Space, Tentat, Time, Conj, Excl, Incl, FocusPresent, FocusFuture, FocusPast, Differ, Reward, Risk, Quant, Compare, Swear, Netspeak, Interrog, You,Conj, Affiliation, Power,NN, NNP, PRP, PRP$, WP, DT, WDT, CD, RB, UH, VB, JJ, VBD, VBG, VBN, VBP, VBZ, MD,avg word length,Content Diversity,noun phrase count,noun phrase avg length,redundancy,sentences,words,big words,words captured %,syllables,syllables per word,flesh kincaid,fog index,smog index,avg words per sentence,NP avg length,stop words %,capital words,label,,
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8.777777778,1,1,4,1.5,0.25,1,9,3,0.000902799,13,1.444444444,4.964444444,8.044444444,8.841846275,9,1.5,0.2,0,0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.333333333,1,1,1,1,0.5,1,3,0,0.000601866,4,1.333333333,1.313333333,1.2,3.1291,3,1,0.333333333,0,0
2,1,7,3,0,8,2,0,1,0,0,0,0,10,12,1,11,0,0,1,4,3,0,2,3,1,3,8,0,1,3,0,0,0,1,0,0,0,1,3,0,0,16,0,2,1,0,3,0,0,4,0,1,8,0,1,0,1,1,2,0,5,0,0.666666667,18,1.777777778,0.906976744,11,82,18,0.013842913,111,1.353658537,3.290443459,4.933037694,6.574015621,7.454545455,1.777777778,0.469135802,4,1
3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,4.142857143,1,1,2,1.5,0.5,2,7,1,0.000902799,9,1.285714286,0.946428571,1.4,3.1291,3.5,1.5,0.333333333,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,1,1,1,2,0,1,2,0,0,3,1.5,2.89,0.8,3.1291,2,2,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,1,1,1,0,2,2,8.4,0.4,3.1291,1,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,1,1,0,0.000300933,1,1,-3.4,0.4,3.1291,1,1,0,0,0
7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,1,1,3.833333333,1,1,1,2,1.333333333,1,6,0,0.001203732,8,1.333333333,2.483333333,9.066666667,8.841846275,6,2,0.5,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1,1,2,1,0,1,4,0,0,5,1.25,0.72,1.6,3.1291,4,1,0,0,0
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.333333333,1,1,1,2,0,2,3,1,0,4,1.333333333,0.728333333,0.6,3.1291,1.5,2,0,0,0
10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3.166666667,1,1,1,2,1,1,6,0,0.001203732,6,1,-1.45,2.4,3.1291,6,2,0.5,1,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,2,0,0,3,1.5,2.89,0.8,3.1291,2,0,0,1,0
12,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4.285714286,1,1,1,1,1,1,7,1,0.001203732,8,1.142857143,0.625714286,2.8,3.1291,7,1,0.428571429,1,0
13,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4.142857143,1,1,2,2.5,0.5,1,7,0,0.001203732,9,1.285714286,2.311428571,2.8,3.1291,7,2.5,0.333333333,0,0
14,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,0.333333333,1,3,0,0.000601866,4,1.333333333,1.313333333,1.2,3.1291,3,2,0,0,0
15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,1,1,4,0,1,4,1,0.000902799,5,1.25,0.72,1.6,3.1291,4,4,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,1,0,0,0,1,1,1,0,1,1,-3.4,0.4,3.1291,1,0,0,0,0
