dataset ,AdaBoost,,,Bagging,,,GradientBoost,,,RandomForest,,,,
1,0.731,2,0.25,0.707,4,2.25,0.736,1,2.25,0.727,3,0.25,,
2,0.832,3,0.25,0.834,1,2.25,0.825,4,2.25,0.833,2,0.25,,
3,0.751,2,0.25,0.735,4,2.25,0.752,1,2.25,0.736,3,0.25,,
4,0.795,3,0.25,0.791,4,2.25,0.826,1,2.25,0.814,2,0.25,,
5,0.771,2,0.25,0.722,4,2.25,0.784,1,2.25,0.765,3,0.25,,
6,0.844,1,2.25,0.61,4,2.25,0.812,2,0.25,0.744,3,0.25,,
7,0.934,2,0.25,0.929,4,2.25,0.937,1,2.25,0.933,3,0.25,,
8,0.925,1,2.25,0.86,4,2.25,0.906,3,0.25,0.914,2,0.25,,
9,0.851,3,0.25,0.841,4,2.25,0.881,1,2.25,0.87,2,0.25,,
10,0.929,1.5,1,0.788,4,2.25,0.889,3,0.25,0.929,1.5,1,,
average rank,2.05,,,3.7,,,1.8,,,2.45,,,,2.500
,,,,,,,,,,,,,,
,0.2025,,7.25,1.44,,22.5,0.49,,16.5,0.0025,,3.25,,
,,,,,,,,,,,,,,
,21.35,,1.65,,,,,,,,,,,
,,,,12.93939394,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,20.5,,,37,,,18,,,24.5,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,420.25,,,1369,,,324,,,600.25,0,,
,,,,,,,,,,,,,,
,,2713.5,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,3.7,2.45,1.25,,,,,,,,,,,
,2.45,2.05,,,,,,,,,,,,
,2.05,1.8,,,,,,,,,,,,
,1.8,,,,,,,,,,,,,
