dataset,AdaBoost,,Bagging,,GradientBoost,,RandomForest,
1,0.733,1.5,0.710,4.0,0.733,1.5,0.725,3.0
2,0.716,1.5,0.716,1.5,0.708,4.0,0.715,3.0
3,0.749,1.0,0.732,4.0,0.742,2.0,0.736,3.0
4,0.787,3.0,0.783,4.0,0.819,1.0,0.801,2.0
5,0.787,3.0,0.743,4.0,0.797,1.0,0.793,2.0
6,0.972,1.0,0.940,4.0,0.966,2.0,0.958,3.0
7,0.893,2.0,0.883,4.0,0.897,1.0,0.889,3.0
8,0.924,1.0,0.857,4.0,0.905,3.0,0.914,3.0
9,0.841,3.0,0.833,4.0,0.871,1.0,0.864,2.0
10,0.928,1.5,0.802,4.0,0.892,3.0,0.928,1.5
,,1.85,,3.75,,1.95,,2.55
,,,,,,,,
,,,1.85,1.95,2.55,3.75,,
,,1.85,0,0.1,0.7,1.9,,
,,1.95,0.1,0,0.6,1.8,,
,,2.55,0.7,0.6,0,1.2,,
,,3.75,1.9,1.8,1.2,0,,
